["in","LEFT"]
["out_1","RIGHT"]
["out_2","RIGHT"]
("in","mode 1",1,"in",1,"transmission")
(102, 3)
1.9645490618939394e+14 6.4851862125089244e-01 1.2060616068699892e+01
1.9658108146632997e+14 6.4823592563363386e-01 1.2255950776817729e+01
1.9670725674326600e+14 6.4795444149596060e-01 1.2451266904311618e+01
1.9683343202020200e+14 6.4767448749661694e-01 1.2646566558844089e+01
1.9695960729713803e+14 6.4739582783221894e-01 1.2841851990657196e+01
1.9708578257407406e+14 6.4711766979775887e-01 1.3037125297986204e+01
1.9721195785101009e+14 6.4683873278178738e-01 1.3232388140230883e+01
1.9733813312794612e+14 6.4655738354841052e-01 1.3427641499064489e+01
1.9746430840488216e+14 6.4627182319854437e-01 1.3622885523116793e+01
1.9759048368181819e+14 6.4598030327991496e-01 1.3818119482047162e+01
1.9771665895875419e+14 6.4568134333448546e-01 1.4013341841847629e+01
1.9784283423569022e+14 6.4537392062061905e-01 1.4208550456854550e+01
1.9796900951262625e+14 6.4505760524075173e-01 1.4403742857400243e+01
1.9809518478956228e+14 6.4473262029043787e-01 1.4598916597673325e+01
1.9822136006649831e+14 6.4439981618735809e-01 1.4794069618312706e+01
1.9834753534343434e+14 6.4406055980264576e-01 1.4989200574171949e+01
1.9847371062037038e+14 6.4371655083465218e-01 1.5184309080364155e+01
1.9859988589730638e+14 6.4336958836770108e-01 1.5379395839011215e+01
1.9872606117424241e+14 6.4302131822693387e-01 1.5574462623993808e+01
1.9885223645117844e+14 6.4267299543026846e-01 1.5769512119531473e+01
1.9897841172811447e+14 6.4232529514142400e-01 1.5964547628185166e+01
1.9910458700505050e+14 6.4197820005232897e-01 1.6159572682193819e+01
1.9923076228198653e+14 6.4163098268433871e-01 1.6354590606420516e+01
1.9935693755892256e+14 6.4128228884435357e-01 1.6549604089520720e+01
1.9948311283585856e+14 6.4093031494387775e-01 1.6744614820941447e+01
1.9960928811279459e+14 6.4057305884643978e-01 1.6939623244613422e+01
1.9973546338973062e+14 6.4020861311866717e-01 1.7134628466328628e+01
1.9986163866666666e+14 6.3983546257850665e-01 1.7329628332400958e+01
("in","mode 1",1,"out_2",1,"transmission")
(102, 3)
1.8737028625000000e+14 6.5654539909063070e-01 -2.0437374893633398e+00
1.8749646152693603e+14 6.5652704349455526e-01 -1.8473575326292158e+00
1.8762263680387206e+14 6.5650672025564072e-01 -1.6509880233583789e+00
1.8774881208080809e+14 6.5648486343007562e-01 -1.4546286008488727e+00
1.8787498735774409e+14 6.5646183629225219e-01 -1.2582789319539638e+00
1.8800116263468012e+14 6.5643794443654579e-01 -1.0619387525487065e+00
1.8812733791161616e+14 6.5641345421486130e-01 -8.6560788701176461e-01
1.8825351318855219e+14 6.5638860968944601e-01 -6.6928624657507807e-01
1.8837968846548822e+14 6.5636364261278635e-01 -4.7297381165447644e-01
1.8850586374242425e+14 6.5633877223929948e-01 -2.7667060610831790e-01
1.8863203901936028e+14 6.5631419452473039e-01 -8.0376672365711915e-02
1.8875821429629628e+14 6.5629006292912218e-01 1.1590794454017393e-01
1.8888438957323231e+14 6.5626646510504028e-01 3.1218319851180765e-01
1.8901056485016834e+14 6.5624340085884025e-01 5.0844902754066212e-01
1.8913674012710438e+14 6.5622076674336083e-01 7.0470532439620215e-01
1.8926291540404041e+14 6.5619835151667372e-01 9.0095189821317923e-01
1.8938909068097644e+14 6.5617584472250512e-01 1.0971884346922069e+00
1.8951526595791247e+14 6.5615285820293856e-01 1.2934144634571956e+00
1.8964144123484847e+14 6.5612895790885573e-01 1.4896293402799214e+00
1.8976761651178450e+14 6.5610370138571084e-01 1.6858322495427500e+00
1.8989379178872053e+14 6.5607667515018964e-01 1.8820222289070527e+00
1.9001996706565656e+14 6.5604752605309935e-01 2.0781982143100417e+00
1.9014614234259259e+14 6.5601598167057551e-01 2.2743590998284007e+00
1.9027231761952862e+14 6.5598185661304742e-01 2.4705038042756295e+00
1.9039849289646466e+14 6.5594504405965759e-01 2.6666313351323412e+00
1.9052466817340066e+14 6.5590549438309831e-01 2.8627408407777994e+00
1.9065084345033669e+14 6.5586318496803231e-01 3.0588316439472520e+00
1.9077701872727272e+14 6.5581808684251952e-01 3.2549032525360775e+00
1.9090319400420875e+14 6.5577013426123665e-01 3.4509553477589665e+00
1.9102936928114478e+14 6.5571920280090812e-01 3.6469877535503730e+00
1.9115554455808081e+14 6.5566509994738675e-01 3.8430003942844606e+00
1.9128171983501684e+14 6.5560756984156410e-01 4.0389932498112318e+00
1.9140789511195284e+14 6.5554631121381080e-01 4.2349663171001133e+00
1.9153407038888888e+14 6.5548100504165707e-01 4.4309195863788471e+00
1.9166024566582491e+14 6.5541134656469080e-01 4.6268530367688294e+00
1.9178642094276094e+14 6.5533707533952501e-01 4.8227666525535255e+00
1.9191259621969697e+14 6.5525799721201350e-01 5.0186604570329516e+00
1.9203877149663300e+14 6.5517399342104621e-01 5.2145345571800803e+00
1.9216494677356903e+14 6.5508501432368005e-01 5.4103891897023813e+00
1.9229112205050503e+14 6.5499105806681723e-01 5.6062247581452631e+00
1.9241729732744106e+14 6.5489213743744723e-01 5.8020418515940060e+00
1.9254347260437709e+14 6.5478824058183049e-01 5.9978412382452646e+00
1.9266964788131312e+14 6.5467929283543436e-01 6.1936238312388774e+00
1.9279582315824916e+14 6.5456512723023763e-01 6.3893906289867921e+00
1.9292199843518519e+14 6.5444547022660260e-01 6.5851426370054043e+00
1.9304817371212122e+14 6.5431994696127005e-01 6.7808807820962427e+00
1.9317434898905725e+14 6.5418810713797593e-01 6.9766058319156912e+00
